platform,release_date,game_name,db_name,year
DS,9-Mar-10,The Daring Game for Girls,The Daring Game for Girls,2010
PSP,3-Apr-06,Major League Baseball 2K6,Major League Baseball 2K6,2006
Wii,20-Nov-07,Star Trek: Conquest,Star Trek: Conquest,2007
PS2,20-Nov-07,Star Trek: Conquest,Star Trek: Conquest,2007
GC,25-Apr-03,Giftpia,GiFTPiA,2003
Wii,8-Dec-11,Happy Feet Two,Happy Feet Two,2011
PS3,8-Nov-11,Happy Feet Two,Happy Feet Two,2011
X360,11-Nov-11,Happy Feet Two,Happy Feet Two,2011
DS,8-Nov-11,Happy Feet Two,Happy Feet Two,2011
3DS,8-Nov-11,Happy Feet Two,Happy Feet Two,2011
Wii,9-Nov-06,Disney's Chicken Little: Ace in Action,Disney's Chicken Little: Ace In Action,2006
PC,1-Dec-06,Disney's Chicken Little: Ace in Action,Disney's Chicken Little: Ace In Action,2006
PS2,17-May-07,Disney's Chicken Little: Ace in Action,Disney's Chicken Little: Ace In Action,2007
DS,TBD,Atsumare! Pawapuro-kun no DS Koushien,Atsumare! Power Pro Kun no DS Koushien,2006
DS,23-Jul-09,My Healthy Cooking Coach,My Healthy Cooking Coach,2009
DS,24-Mar-05,Egg Monster Hero,Egg Monster Hero,2005
PS2,24-Nov-05,Demon Chaos,Demon Chaos,2005
Wii,14-Apr-09,Samurai Shodown Anthology,Samurai Shodown Anthology,2009
PS2,27-Mar-09,Samurai Shodown Anthology,Samurai Shodown Anthology,2009
PSP,2009,Samurai Shodown Anthology,Samurai Shodown Anthology,2009
GBA,29-Mar-03,Super Puzzle Fighter II Turbo,Super Puzzle Fighter II,2003
3DS,6-Jan-12,Face Racers: Photo Finish,Face Racers: Photo Finish,2012
Wii,31-Jul-08,Zero: Tsukihami no Kamen,Zero: Tsukihami no Kamen,2008
3DS,3-Nov-11,The Hidden,The Hidden,2011
Wii,26-Nov-10,Get fit with Mel B,Get Fit with Mel B,2010
PS3,30-Aug-11,Get fit with Mel B,Get Fit with Mel B,2011
X360,26-Nov-10,Get fit with Mel B,Get Fit with Mel B,2010
XB,13-May-02,Smashing Drive,Smashing Drive,2002
GC,18-Feb-02,Smashing Drive,Smashing Drive,2002
PC,2-Oct-12,Port Royale 3: Pirates & Merchants,Port Royale 3,2012
PS3,2-Oct-12,Port Royale 3: Pirates & Merchants,Port Royale 3,2012
X360,4-May-12,Port Royale 3: Pirates & Merchants,Port Royale 3,2012
3DS,15-Jul-11,Dream Trigger 3D,Dream Trigger 3D,2011
PC,23-Apr-13,Dead Island: Riptide,Dead Island: Riptide,2013
PS3,26-Apr-13,Dead Island: Riptide,Dead Island: Riptide,2013
X360,11-Jul-13,Dead Island: Riptide,Dead Island: Riptide,2013
X360,15-Nov-11,Yoostar on MTV,Yoostar on MTV,2011
DS,21-Oct-08,Tornado,Tornado,2008
