name,platform,platform_igdb
Happy Feet Two,PS3,PlayStation 3
Disney's Chicken Little: Ace In Action,Wii,Wii
Atsumare! Power Pro Kun no DS Koushien,DS,Nintendo DS
My Healthy Cooking Coach,DS,Nintendo DS
Happy Feet Two,DS,Nintendo DS
Luminous Arc 2 (JP sales),DS,Nintendo DS
Happy Feet Two,X360,Xbox 360
Egg Monster Hero,DS,Nintendo DS
The Daring Game for Girls,Wii,Wii
Demon Chaos,PS2,PlayStation 2
Samurai Shodown Anthology,PSP,PlayStation Portable
Action Man-Operation Extreme,PS,PlayStation
Super Puzzle Fighter II,GBA,Game Boy Advance
Charm Girls Club: My Fashion Show,DS,Nintendo DS
Face Racers: Photo Finish,3DS,Nintendo 3DS
Zero: Tsukihami no Kamen,Wii,Wii
The Hidden,3DS,Nintendo 3DS
Get Fit with Mel B,X360,Xbox 360
Rock Revolution,Wii,Wii
Happy Feet Two,Wii,Wii
Mega Man Battle Network: Operation Shooting Star,DS,Nintendo DS
Smashing Drive,GC,Nintendo GameCube
Port Royale 3,PS3,PlayStation 3
Dream Trigger 3D,3DS,Nintendo 3DS
Dead Island: Riptide,PC,PC (Microsoft Windows)
Yoostar on MTV,X360,Xbox 360
Tornado,DS,Nintendo DS
McFarlane's Evil Prophecy,PS2,PlayStation 2
Drake of the 99 Dragons,XB,Xbox
Build-A-Bear Workshop: Friendship Valley,Wii,Wii
Rayman Arena,XB,Xbox
Port Royale 3,X360,Xbox 360
National Geographic Challenge!,X360,Xbox 360
Alex Rider: Stormbreaker,DS,Nintendo DS
Chou Soujuu Mecha MG,DS,Nintendo DS
Prinny: Can I Really Be The Hero? (US sales),PSP,PlayStation Portable
Combat Elite: WWII Paratroopers,PS2,PlayStation 2
Flip's Twisted World,Wii,Wii
Mobile Ops: The One Year War,X360,Xbox 360
Tom Clancy's Rainbow Six: Critical Hour,XB,Xbox
Jewel Link Chronicles: Mountains of Madness,DS,Nintendo DS
Captain America: Super Soldier,Wii,Wii
Mountain Bike Adrenaline,PS2,PlayStation 2
Drill Dozer,GBA,Game Boy Advance
Captain America: Super Soldier,DS,Nintendo DS
GRID,DS,Nintendo DS
Tour de France 2011,X360,Xbox 360
Reader Rabbit 2nd Grade,Wii,Wii
Monster Hunter Frontier Online,PS3,PlayStation 3
RollerCoaster Tycoon,PC,PC (Microsoft Windows)
Battle vs. Chess,PS3,PlayStation 3
The History Channel: Great Battles - Medieval,PS3,PlayStation 3
Clockwork Empires,PC,PC (Microsoft Windows)
B.L.U.E.: Legend of Water,PS,PlayStation
GRID,PC,PC (Microsoft Windows)
NHL Hitz Pro,GC,Nintendo GameCube
Luxor: Pharaoh's Challenge,Wii,Wii
Sega Rally 2006,PS2,PlayStation 2
Half-Minute Hero 2,PSP,PlayStation Portable
Housekeeping,DS,Nintendo DS
Major League Baseball 2K8,PSP,PlayStation Portable
Sabre Wulf,GBA,Game Boy Advance
Swords,Wii,Wii
Beyond the Labyrinth,3DS,Nintendo 3DS
Bikkuriman Daijiten,DS,Nintendo DS
Majesty 2: The Fantasy Kingdom Sim,X360,Xbox 360
Fullmetal Alchemist: Brotherhood,PSP,PlayStation Portable
Combat Elite: WWII Paratroopers,XB,Xbox
Samurai Spirits: Tenkaichi Kenkakuden,PS2,PlayStation 2
World of Tanks,X360,Xbox 360
Battle vs. Chess,PC,PC (Microsoft Windows)
Tom and Jerry in War of the Whiskers,XB,Xbox
Super Duper Sumos,GBA,Game Boy Advance
The King of Fighters: Maximum Impact - Maniax,XB,Xbox
Combat Wings: The Great Battles of WWII,Wii,Wii
Tube Slider,GC,Nintendo GameCube
Umineko no Naku Koro ni San: Shinjitsu to Gensou no Yasoukyoku,PS3,PlayStation 3
Payout Poker & Casino,PSP,PlayStation Portable
